id,name,state,population
1114,Acadia Parish,Louisiana,62919
1115,Allen Parish,Louisiana,25905
1116,Ascension Parish,Louisiana,126133
1117,Assumption Parish,Louisiana,22561
1118,Avoyelles Parish,Louisiana,40936
1119,Beauregard Parish,Louisiana,37690
1120,Bienville Parish,Louisiana,13464
1121,Bossier Parish,Louisiana,128676
1122,Caddo Parish,Louisiana,245770
1123,Calcasieu Parish,Louisiana,205493
1124,Caldwell Parish,Louisiana,10077
1125,Cameron Parish,Louisiana,7050
1126,Catahoula Parish,Louisiana,9721
1127,Claiborne Parish,Louisiana,16131
1128,Concordia Parish,Louisiana,19801
1129,De Soto Parish,Louisiana,27758
1130,East Baton Rouge Parish,Louisiana,446125
1131,East Carroll Parish,Louisiana,7119
1132,East Feliciana Parish,Louisiana,19531
1133,Evangeline Parish,Louisiana,33835
1134,Franklin Parish,Louisiana,20392
1135,Grant Parish,Louisiana,22746
1136,Iberia Parish,Louisiana,71773
1137,Iberville Parish,Louisiana,33105
1138,Jackson Parish,Louisiana,16088
1139,Jefferson Parish,Louisiana,439139
1140,Jefferson Davis Parish,Louisiana,31952
1141,Lafayette Parish,Louisiana,245628
1142,Lafourche Parish,Louisiana,99265
1143,LaSalle Parish,Louisiana,15092
1144,Lincoln Parish,Louisiana,47749
1145,Livingston Parish,Louisiana,141203
1146,Madison Parish,Louisiana,11292
1147,Morehouse Parish,Louisiana,25696
1148,Natchitoches Parish,Louisiana,39112
1149,Orleans Parish,Louisiana,395590
1150,Ouachita Parish,Louisiana,156286
1151,Plaquemines Parish,Louisiana,23684
1152,Pointe Coupee Parish,Louisiana,22197
1153,Rapides Parish,Louisiana,132093
1154,Red River Parish,Louisiana,8576
1155,Richland Parish,Louisiana,20429
1156,Sabine Parish,Louisiana,24314
1157,St. Bernard Parish,Louisiana,47269
1158,St. Charles Parish,Louisiana,53499
1159,St. Helena Parish,Louisiana,10382
1160,St. James Parish,Louisiana,21284
1161,St. John the Baptist Parish,Louisiana,43690
1162,St. Landry Parish,Louisiana,83734
1163,St. Martin Parish,Louisiana,54250
1164,St. Mary Parish,Louisiana,50357
1165,St. Tammany Parish,Louisiana,261137
1166,Tangipahoa Parish,Louisiana,135345
1167,Tensas Parish,Louisiana,4514
1168,Terrebonne Parish,Louisiana,112322
1169,Union Parish,Louisiana,22592
1170,Vermilion Parish,Louisiana,60531
1171,Vernon Parish,Louisiana,49433
1172,Washington Parish,Louisiana,47128
1173,Webster Parish,Louisiana,39253
1174,West Baton Rouge Parish,Louisiana,26737
1175,West Carroll Parish,Louisiana,11111
1176,West Feliciana Parish,Louisiana,15641
1177,Winn Parish,Louisiana,14300
1178,Androscoggin County,Maine,108941
1179,Aroostook County,Maine,67898
1180,Cumberland County,Maine,296998
1181,Franklin County,Maine,30247
1182,Hancock County,Maine,55454
1183,Kennebec County,Maine,123514
1184,Knox County,Maine,40237
1185,Lincoln County,Maine,34745
1186,Oxford County,Maine,58293
1187,Penobscot County,Maine,152867
1188,Piscataquis County,Maine,16997
1189,Sagadahoc County,Maine,36052
1190,Somerset County,Maine,51185
1191,Waldo County,Maine,40159
1192,Washington County,Maine,31859
1193,York County,Maine,208647
1194,Allegany County,Maryland,71807
1195,Anne Arundel County,Maryland,582784
1196,Baltimore County,Maryland,838142
1197,Calvert County,Maryland,93082
1198,Caroline County,Maryland,33694
1199,Carroll County,Maryland,170403
1200,Cecil County,Maryland,104031
1201,Charles County,Maryland,163396
1202,Dorchester County,Maryland,32373
1203,Frederick County,Maryland,258645
1204,Garrett County,Maryland,29505
1205,Harford County,Maryland,256933
1206,Howard County,Maryland,326985
1207,Kent County,Maryland,19610
1208,Montgomery County,Maryland,1064906
1209,Prince George's County,Maryland,919967
1210,Queen Anne's County,Maryland,50840
1211,St. Mary's County,Maryland,113985
1212,Somerset County,Maryland,25976
1213,Talbot County,Maryland,37401
1214,Washington County,Maryland,152695
1215,Wicomico County,Maryland,104405
1216,Worcester County,Maryland,52430
1217,Baltimore city,Maryland,609558
1218,Barnstable County,Massachusetts,215915
1219,Berkshire County,Massachusetts,127829
1220,Bristol County,Massachusetts,570634
1221,Dukes County,Massachusetts,17555
1222,Essex County,Massachusetts,799906
1223,Franklin County,Massachusetts,71795
1224,Hampden County,Massachusetts,475920
1225,Hampshire County,Massachusetts,163246
1226,Middlesex County,Massachusetts,1633643
1227,Nantucket County,Massachusetts,11460
1228,Norfolk County,Massachusetts,713657
1229,Plymouth County,Massachusetts,524206
1230,Suffolk County,Massachusetts,816715
1231,Worcester County,Massachusetts,840579
1232,Alcona County,Michigan,10483
1233,Alger County,Michigan,9204
1234,Allegan County,Michigan,118702
1235,Alpena County,Michigan,28692
1236,Antrim County,Michigan,23639
1237,Arenac County,Michigan,15217
1238,Baraga County,Michigan,8418
1239,Barry County,Michigan,61874
1240,Bay County,Michigan,105141
1241,Benzie County,Michigan,17961
1242,Berrien County,Michigan,155948
1243,Branch County,Michigan,44133
1244,Calhoun County,Michigan,136064
1245,Cass County,Michigan,52259
1246,Charlevoix County,Michigan,26552
1247,Cheboygan County,Michigan,25711
1248,Chippewa County,Michigan,37957
1249,Clare County,Michigan,31118
1250,Clinton County,Michigan,80262
1251,Crawford County,Michigan,14064
1252,Delta County,Michigan,36277
1253,Dickinson County,Michigan,25681
1254,Eaton County,Michigan,111113
1255,Emmet County,Michigan,33698
1256,Genesee County,Michigan,411662
1257,Gladwin County,Michigan,25634
1258,Gogebic County,Michigan,15273
1259,Grand Traverse County,Michigan,93658
1260,Gratiot County,Michigan,41075
1261,Hillsdale County,Michigan,46285
1262,Houghton County,Michigan,36644
1263,Huron County,Michigan,31531
1264,Ingham County,Michigan,296167
1265,Ionia County,Michigan,64963
1266,Iosco County,Michigan,25375
1267,Iron County,Michigan,11247
1268,Isabella County,Michigan,71389
1269,Jackson County,Michigan,160685
1270,Kalamazoo County,Michigan,267975
1271,Kalkaska County,Michigan,18033
1272,Kent County,Michigan,661450
1273,Keweenaw County,Michigan,2138
1274,Lake County,Michigan,12020
1275,Lapeer County,Michigan,89060
1276,Leelanau County,Michigan,22019
1277,Lenawee County,Michigan,99418
1278,Livingston County,Michigan,193466
1279,Luce County,Michigan,6357
1280,Mackinac County,Michigan,10913
1281,Macomb County,Michigan,885013
1282,Manistee County,Michigan,24816
1283,Marquette County,Michigan,67296
1284,Mason County,Michigan,29441
1285,Mecosta County,Michigan,44055
1286,Menominee County,Michigan,23252
1287,Midland County,Michigan,84184
1288,Missaukee County,Michigan,15290
1289,Monroe County,Michigan,152203
1290,Montcalm County,Michigan,64718
1291,Montmorency County,Michigan,9374
1292,Muskegon County,Michigan,175623
1293,Newaygo County,Michigan,49465
1294,Oakland County,Michigan,1273962
1295,Oceana County,Michigan,26937
1296,Ogemaw County,Michigan,21198
1297,Ontonagon County,Michigan,5863
1298,Osceola County,Michigan,23615
1299,Oscoda County,Michigan,8373
1300,Otsego County,Michigan,24954
1301,Ottawa County,Michigan,293899
1302,Presque Isle County,Michigan,12887
1303,Roscommon County,Michigan,24164
1304,Saginaw County,Michigan,193037
1305,St. Clair County,Michigan,161205
1306,St. Joseph County,Michigan,61759
1307,Sanilac County,Michigan,41665
1308,Schoolcraft County,Michigan,8163
1309,Shiawassee County,Michigan,68991
1310,Tuscola County,Michigan,53132
1311,Van Buren County,Michigan,76332
1312,Washtenaw County,Michigan,375312
1313,Wayne County,Michigan,1774453
1314,Wexford County,Michigan,33858
1315,Aitkin County,Minnesota,16088
1316,Anoka County,Minnesota,357961
1317,Becker County,Minnesota,34774
1318,Beltrami County,Minnesota,47396
1319,Benton County,Minnesota,41020
1320,Big Stone County,Minnesota,5047
1321,Blue Earth County,Minnesota,68217
1322,Brown County,Minnesota,25405
1323,Carlton County,Minnesota,36257
1324,Carver County,Minnesota,104765
1325,Cass County,Minnesota,29865
1326,Chippewa County,Minnesota,12064
1327,Chisago County,Minnesota,56578
1328,Clay County,Minnesota,64705
1329,Clearwater County,Minnesota,8913
1330,Cook County,Minnesota,5456
1331,Cottonwood County,Minnesota,11409
1332,Crow Wing County,Minnesota,65650
1333,Dakota County,Minnesota,430410
1334,Dodge County,Minnesota,21066
1335,Douglas County,Minnesota,38409
1336,Faribault County,Minnesota,13919
1337,Fillmore County,Minnesota,21305
1338,Freeborn County,Minnesota,30801
1339,Goodhue County,Minnesota,46947
1340,Grant County,Minnesota,6092
1341,Hennepin County,Minnesota,1274192
1342,Houston County,Minnesota,18796
1343,Hubbard County,Minnesota,21582
1344,Isanti County,Minnesota,40435
1345,Itasca County,Minnesota,45637
1346,Jackson County,Minnesota,10027
1347,Kanabec County,Minnesota,16397
1348,Kandiyohi County,Minnesota,43357
1349,Kittson County,Minnesota,4298
1350,Koochiching County,Minnesota,12586
1351,Lac qui Parle County,Minnesota,6736
1352,Lake County,Minnesota,10783
1353,Lake of the Woods County,Minnesota,3802
1354,Le Sueur County,Minnesota,28828
1355,Lincoln County,Minnesota,5740
1356,Lyon County,Minnesota,25929
1357,McLeod County,Minnesota,36294
1358,Mahnomen County,Minnesota,5584
1359,Marshall County,Minnesota,9500
1360,Martin County,Minnesota,20017
1361,Meeker County,Minnesota,23412
1362,Mille Lacs County,Minnesota,26445
1363,Morrison County,Minnesota,33558
1364,Mower County,Minnesota,40480
1365,Murray County,Minnesota,8373
1366,Nicollet County,Minnesota,34621
1367,Nobles County,Minnesota,22181
1368,Norman County,Minnesota,6551
1369,Olmsted County,Minnesota,158109
1370,Otter Tail County,Minnesota,59501
1371,Pennington County,Minnesota,14344
1372,Pine County,Minnesota,29829
1373,Pipestone County,Minnesota,9153
1374,Polk County,Minnesota,31899
1375,Pope County,Minnesota,11227
1376,Ramsey County,Minnesota,556660
1377,Red Lake County,Minnesota,4046
1378,Redwood County,Minnesota,15428
1379,Renville County,Minnesota,14783
1380,Rice County,Minnesota,67303
1381,Rock County,Minnesota,9524
1382,Roseau County,Minnesota,15328
1383,St. Louis County,Minnesota,202096
1384,Scott County,Minnesota,149109
1385,Sherburne County,Minnesota,97162
1386,Sibley County,Minnesota,15204
1387,Stearns County,Minnesota,161123
1388,Steele County,Minnesota,37234
1389,Stevens County,Minnesota,9867
1390,Swift County,Minnesota,9455
1391,Todd County,Minnesota,24870
1392,Traverse County,Minnesota,3347
1393,Wabasha County,Minnesota,21899
1394,Wadena County,Minnesota,13934
1395,Waseca County,Minnesota,18910
1396,Washington County,Minnesota,262239
1397,Watonwan County,Minnesota,11109
1398,Wilkin County,Minnesota,6327
1399,Winona County,Minnesota,51421
1400,Wright County,Minnesota,137947
1401,Yellow Medicine County,Minnesota,9910
1402,Adams County,Mississippi,31558
1403,Alcorn County,Mississippi,37358
1404,Amite County,Mississippi,12470
1405,Attala County,Mississippi,18580
1406,Benton County,Mississippi,8368
1407,Bolivar County,Mississippi,31700
1408,Calhoun County,Mississippi,14605
1409,Carroll County,Mississippi,10027
1410,Chickasaw County,Mississippi,17372
1411,Choctaw County,Mississippi,8375
1412,Claiborne County,Mississippi,9108
1413,Clarke County,Mississippi,15787
1414,Clay County,Mississippi,19613
1415,Coahoma County,Mississippi,22893
1416,Copiah County,Mississippi,28878
1417,Covington County,Mississippi,19074
1418,DeSoto County,Mississippi,184135
1419,Forrest County,Mississippi,75916
1420,Franklin County,Mississippi,7879
1421,George County,Mississippi,24534
1422,Greene County,Mississippi,13745
1423,Grenada County,Mississippi,21302
1424,Hancock County,Mississippi,47889
1425,Harrison County,Mississippi,209072
1426,Hinds County,Mississippi,239864
1427,Holmes County,Mississippi,17829
1428,Humphreys County,Mississippi,8354
1429,Issaquena County,Mississippi,1323
1430,Itawamba County,Mississippi,23793
1431,Jackson County,Mississippi,144957
1432,Jasper County,Mississippi,16621
1433,Jefferson County,Mississippi,7189
1434,Jefferson Davis County,Mississippi,11366
1435,Jones County,Mississippi,69264
1436,Kemper County,Mississippi,10145
1437,Lafayette County,Mississippi,55435
1438,Lamar County,Mississippi,63179
1439,Lauderdale County,Mississippi,76200
1440,Lawrence County,Mississippi,12601
1441,Leake County,Mississippi,23030
1442,Lee County,Mississippi,86201
1443,Leflore County,Mississippi,29258
1444,Lincoln County,Mississippi,34606
1445,Lowndes County,Mississippi,59621
1446,Madison County,Mississippi,106868
1447,Marion County,Mississippi,25005
1448,Marshall County,Mississippi,35867
1449,Monroe County,Mississippi,35981
1450,Montgomery County,Mississippi,10140
1451,Neshoba County,Mississippi,29466
1452,Newton County,Mississippi,21694
1453,Noxubee County,Mississippi,10658
1454,Oktibbeha County,Mississippi,50180
1455,Panola County,Mississippi,34579
1456,Pearl River County,Mississippi,56036
1457,Perry County,Mississippi,12071
1458,Pike County,Mississippi,40027
1459,Pontotoc County,Mississippi,32206
1460,Prentiss County,Mississippi,25612
1461,Quitman County,Mississippi,7134
1462,Rankin County,Mississippi,155706
1463,Scott County,Mississippi,28619
1464,Sharkey County,Mississippi,4428
1465,Simpson County,Mississippi,27072
1466,Smith County,Mississippi,16190
1467,Stone County,Mississippi,18936
1468,Sunflower County,Mississippi,26037
1469,Tallahatchie County,Mississippi,14151
1470,Tate County,Mississippi,29096
1471,Tippah County,Mississippi,22253
1472,Tishomingo County,Mississippi,19682
1473,Tunica County,Mississippi,10061
1474,Union County,Mississippi,28941
1475,Walthall County,Mississippi,14635
1476,Warren County,Mississippi,46717
1477,Washington County,Mississippi,45591
1478,Wayne County,Mississippi,20536
1479,Webster County,Mississippi,9903
1480,Wilkinson County,Mississippi,8895
1481,Winston County,Mississippi,18378
1482,Yalobusha County,Mississippi,12537
1483,Yazoo County,Mississippi,28579
1484,Adair County,Missouri,25636
1485,Andrew County,Missouri,17813
1486,Atchison County,Missouri,5232
1487,Audrain County,Missouri,25772
1488,Barry County,Missouri,36307
1489,Barton County,Missouri,11936
1490,Bates County,Missouri,16511
1491,Benton County,Missouri,19504
1492,Bollinger County,Missouri,12312
1493,Boone County,Missouri,182115
1494,Buchanan County,Missouri,89609
1495,Butler County,Missouri,43139
1496,Caldwell County,Missouri,9215
1497,Callaway County,Missouri,45415
1498,Camden County,Missouri,46352
1499,Cape Girardeau County,Missouri,79676
1500,Carroll County,Missouri,8845
1501,Carter County,Missouri,6125
1502,Cass County,Missouri,106184
1503,Cedar County,Missouri,14331
1504,Chariton County,Missouri,7538
1505,Christian County,Missouri,88003
1506,Clark County,Missouri,6922
1507,Clay County,Missouri,249253
1508,Clinton County,Missouri,20710
1509,Cole County,Missouri,77696
1510,Cooper County,Missouri,17809
1511,Crawford County,Missouri,24238
1512,Dade County,Missouri,7658
1513,Dallas County,Missouri,16958
1514,Daviess County,Missouri,8410
1515,DeKalb County,Missouri,12778
1516,Dent County,Missouri,15622
1517,Douglas County,Missouri,13530
1518,Dunklin County,Missouri,29768
1519,Franklin County,Missouri,104885
1520,Gasconade County,Missouri,14877
1521,Gentry County,Missouri,6706
1522,Greene County,Missouri,295345
1523,Grundy County,Missouri,10030
1524,Harrison County,Missouri,8513
1525,Henry County,Missouri,22047
1526,Hickory County,Missouri,9620
1527,Holt County,Missouri,4456
1528,Howard County,Missouri,10256
1529,Howell County,Missouri,40546
1530,Iron County,Missouri,10296
1531,Jackson County,Missouri,708516
1532,Jasper County,Missouri,122050
1533,Jefferson County,Missouri,226977
1534,Johnson County,Missouri,54281
1535,Knox County,Missouri,3993
1536,Laclede County,Missouri,36132
1537,Lafayette County,Missouri,32980
1538,Lawrence County,Missouri,38809
1539,Lewis County,Missouri,9971
1540,Lincoln County,Missouri,58362
1541,Linn County,Missouri,12178
1542,Livingston County,Missouri,15324
1543,McDonald County,Missouri,23349
1544,Macon County,Missouri,15331
1545,Madison County,Missouri,12331
1546,Maries County,Missouri,8872
1547,Marion County,Missouri,28927
1548,Mercer County,Missouri,3684
1549,Miller County,Missouri,25633
1550,Mississippi County,Missouri,13492
1551,Moniteau County,Missouri,16310
1552,Monroe County,Missouri,8766
1553,Montgomery County,Missouri,11669
1554,Morgan County,Missouri,20597
1555,New Madrid County,Missouri,17499
1556,Newton County,Missouri,58949
1557,Nodaway County,Missouri,22565
1558,Oregon County,Missouri,10665
1559,Osage County,Missouri,13875
1560,Ozark County,Missouri,9123
1561,Pemiscot County,Missouri,16463
1562,Perry County,Missouri,19374
1563,Pettis County,Missouri,43041
1564,Phelps County,Missouri,45256
1565,Pike County,Missouri,18721
1566,Platte County,Missouri,104192
1567,Polk County,Missouri,32578
1568,Pulaski County,Missouri,52624
1569,Putnam County,Missouri,4813
1570,Ralls County,Missouri,10332
1571,Randolph County,Missouri,25053
1572,Ray County,Missouri,23151
1573,Reynolds County,Missouri,6327
1574,Ripley County,Missouri,13558
1575,St. Charles County,Missouri,403861
1576,St. Clair County,Missouri,9505
1577,Ste. Genevieve County,Missouri,18098
1578,St. Francois County,Missouri,67474
1579,St. Louis County,Missouri,1008632
1580,Saline County,Missouri,23163
1581,Schuyler County,Missouri,4653
1582,Scotland County,Missouri,5024
1583,Scott County,Missouri,38909
1584,Shannon County,Missouri,8285
1585,Shelby County,Missouri,6121
1586,Stoddard County,Missouri,29548
1587,Stone County,Missouri,32121
1588,Sullivan County,Missouri,6294
1589,Taney County,Missouri,56507
1590,Texas County,Missouri,25871
1591,Vernon County,Missouri,20769
1592,Warren County,Missouri,35118
1593,Washington County,Missouri,25235
1594,Wayne County,Missouri,13276
1595,Webster County,Missouri,39567
1596,Worth County,Missouri,2064
1597,Wright County,Missouri,18593
1598,St. Louis city,Missouri,306388
1599,Beaverhead County,Montana,9514
1600,Big Horn County,Montana,13494
1601,Blaine County,Montana,6887
1602,Broadwater County,Montana,6156
1603,Carbon County,Montana,10840
1604,Carter County,Montana,1253
1605,Cascade County,Montana,82600
1606,Chouteau County,Montana,5812
1607,Custer County,Montana,11722
1608,Daniels County,Montana,1767
1609,Dawson County,Montana,8782
1610,Deer Lodge County,Montana,9238
1611,Fallon County,Montana,2954
1612,Fergus County,Montana,11243
1613,Flathead County,Montana,103303
1614,Gallatin County,Montana,113187
1615,Garfield County,Montana,1283
1616,Glacier County,Montana,13908
1617,Golden Valley County,Montana,836
1618,Granite County,Montana,3418
1619,Hill County,Montana,16539
1620,Jefferson County,Montana,12239
1621,Judith Basin County,Montana,1975
1622,Lake County,Montana,30605
1623,Lewis and Clark County,Montana,69505
1624,Liberty County,Montana,2458
1625,Lincoln County,Montana,20026
1626,McCone County,Montana,1695
1627,Madison County,Montana,8871
1628,Meagher County,Montana,1888
1629,Mineral County,Montana,4367
1630,Missoula County,Montana,120184
1631,Musselshell County,Montana,4706
1632,Park County,Montana,16932
1633,Petroleum County,Montana,519
1634,Phillips County,Montana,4122
1635,Pondera County,Montana,6042
1636,Powder River County,Montana,1736
1637,Powell County,Montana,7050
1638,Prairie County,Montana,1100
1639,Ravalli County,Montana,43678
1640,Richland County,Montana,11041
1641,Roosevelt County,Montana,11189
1642,Rosebud County,Montana,9169
1643,Sanders County,Montana,11983
1644,Sheridan County,Montana,3464
1645,Silver Bow County,Montana,35403
1646,Stillwater County,Montana,9646
1647,Sweet Grass County,Montana,3753
1648,Teton County,Montana,6234
1649,Toole County,Montana,4910
1650,Treasure County,Montana,687
1651,Valley County,Montana,7524
1652,Wheatland County,Montana,2262
1653,Wibaux County,Montana,1046
1654,Yellowstone County,Montana,162014
1655,Adams County,Nebraska,31880
1656,Antelope County,Nebraska,6410
1657,Arthur County,Nebraska,470
1658,Banner County,Nebraska,739
1659,Blaine County,Nebraska,482
1660,Boone County,Nebraska,5300
1661,Box Butte County,Nebraska,10898
1662,Boyd County,Nebraska,1978
1663,Brown County,Nebraska,3008
1664,Buffalo County,Nebraska,50197
1665,Burt County,Nebraska,6564
1666,Butler County,Nebraska,8152
1667,Cass County,Nebraska,26466
1668,Cedar County,Nebraska,8545
1669,Chase County,Nebraska,4024
1670,Cherry County,Nebraska,5829
1671,Cheyenne County,Nebraska,9419
1672,Clay County,Nebraska,6287
1673,Colfax County,Nebraska,11009
1674,Cuming County,Nebraska,9045
1675,Custer County,Nebraska,10967
1676,Dakota County,Nebraska,20318
1677,Dawes County,Nebraska,8818
1678,Dawson County,Nebraska,23987
1679,Deuel County,Nebraska,1846
1680,Dixon County,Nebraska,5776
1681,Dodge County,Nebraska,37222
1682,Douglas County,Nebraska,573525
1683,Dundy County,Nebraska,1791
1684,Fillmore County,Nebraska,5592
1685,Franklin County,Nebraska,3058
1686,Frontier County,Nebraska,2639
1687,Furnas County,Nebraska,4770
1688,Gage County,Nebraska,21745
1689,Garden County,Nebraska,1919
1690,Garfield County,Nebraska,2010
1691,Gosper County,Nebraska,2019
1692,Grant County,Nebraska,668
1693,Greeley County,Nebraska,2384
1694,Hall County,Nebraska,62329
1695,Hamilton County,Nebraska,9389
1696,Harlan County,Nebraska,3441
1697,Hayes County,Nebraska,927
1698,Hitchcock County,Nebraska,2839
1699,Holt County,Nebraska,10297
1700,Hooker County,Nebraska,690
1701,Howard County,Nebraska,6544
1702,Jefferson County,Nebraska,7180
1703,Johnson County,Nebraska,5194
1704,Kearney County,Nebraska,6621
1705,Keith County,Nebraska,8115
1706,Keya Paha County,Nebraska,819
1707,Kimball County,Nebraska,3660
1708,Knox County,Nebraska,8518
1709,Lancaster County,Nebraska,320991
1710,Lincoln County,Nebraska,35597
1711,Logan County,Nebraska,758
1712,Loup County,Nebraska,625
1713,McPherson County,Nebraska,498
1714,Madison County,Nebraska,35807
1715,Merrick County,Nebraska,7824
1716,Morrill County,Nebraska,4741
1717,Nance County,Nebraska,3573
1718,Nemaha County,Nebraska,7040
1719,Nuckolls County,Nebraska,4244
1720,Otoe County,Nebraska,16172
1721,Pawnee County,Nebraska,2663
1722,Perkins County,Nebraska,2963
1723,Phelps County,Nebraska,9101
1724,Pierce County,Nebraska,7226
1725,Platte County,Nebraska,33754
1726,Polk County,Nebraska,5340
1727,Red Willow County,Nebraska,10852
1728,Richardson County,Nebraska,8030
1729,Rock County,Nebraska,1376
1730,Saline County,Nebraska,14518
1731,Sarpy County,Nebraska,186621
1732,Saunders County,Nebraska,21553
1733,Scotts Bluff County,Nebraska,36411
1734,Seward County,Nebraska,17521
1735,Sheridan County,Nebraska,5251
1736,Sherman County,Nebraska,3074
1737,Sioux County,Nebraska,1201
1738,Stanton County,Nebraska,6040
1739,Thayer County,Nebraska,5098
1740,Thomas County,Nebraska,728
1741,Thurston County,Nebraska,7389
1742,Valley County,Nebraska,4239
1743,Washington County,Nebraska,20909
1744,Wayne County,Nebraska,9513
1745,Webster County,Nebraska,3574
1746,Wheeler County,Nebraska,814
1747,York County,Nebraska,13933
1748,Churchill County,Nevada,24726
1749,Clark County,Nevada,2257808
1750,Douglas County,Nevada,49035
1751,Elko County,Nevada,53075
1752,Esmeralda County,Nevada,836
1753,Eureka County,Nevada,2026
1754,Humboldt County,Nevada,16983
1755,Lander County,Nevada,5640
1756,Lincoln County,Nevada,5262
1757,Lyon County,Nevada,56462
1758,Mineral County,Nevada,4567
1759,Nye County,Nevada,45878
1760,Pershing County,Nevada,6744
1761,Storey County,Nevada,4076
1762,Washoe County,Nevada,471195
1763,White Pine County,Nevada,9586
1764,Carson City,Nevada,56064
1765,Belknap County,New Hampshire,61737
1766,Carroll County,New Hampshire,49351
1767,Cheshire County,New Hampshire,77390
1768,Coos County,New Hampshire,31959
1769,Grafton County,New Hampshire,90839
1770,Hillsborough County,New Hampshire,420115
1771,Merrimack County,New Hampshire,152904
1772,Rockingham County,New Hampshire,312800
1773,Strafford County,New Hampshire,131615
1774,Sullivan County,New Hampshire,43650
1775,Atlantic County,New Jersey,268541
1776,Bergen County,New Jersey,947672
1777,Burlington County,New Jersey,450605
1778,Camden County,New Jersey,513022
1779,Cape May County,New Jersey,93645
1780,Cumberland County,New Jersey,152742
1781,Essex County,New Jersey,809142
1782,Gloucester County,New Jersey,294824
1783,Hudson County,New Jersey,683986
1784,Hunterdon County,New Jersey,126176
1785,Mercer County,New Jersey,374146
1786,Middlesex County,New Jersey,839411
1787,Monmouth County,New Jersey,628638
1788,Morris County,New Jersey,500022
1789,Ocean County,New Jersey,608704
1790,Passaic County,New Jersey,509210
1791,Salem County,New Jersey,63341
1792,Somerset County,New Jersey,335046
1793,Sussex County,New Jersey,142450
1794,Union County,New Jersey,564609
1795,Warren County,New Jersey,107019
1796,Bernalillo County,New Mexico,686657
1797,Catron County,New Mexico,3620
1798,Chaves County,New Mexico,65447
1799,Cibola County,New Mexico,27060
1800,Colfax County,New Mexico,12252
1801,Curry County,New Mexico,50017
1802,De Baca County,New Mexico,1802
1803,Doña Ana County,New Mexico,220072
1804,Eddy County,New Mexico,58579
1805,Grant County,New Mexico,27667
1806,Guadalupe County,New Mexico,4392
1807,Harding County,New Mexico,663
1808,Hidalgo County,New Mexico,4290
1809,Lea County,New Mexico,70427
1810,Lincoln County,New Mexico,19785
1811,Los Alamos County,New Mexico,19325
1812,Luna County,New Mexico,24244
1813,McKinley County,New Mexico,73137
1814,Mora County,New Mexico,4559
1815,Otero County,New Mexico,67564
1816,Quay County,New Mexico,8350
1817,Rio Arriba County,New Mexico,39463
1818,Roosevelt County,New Mexico,18963
1819,Sandoval County,New Mexico,146881
1820,San Juan County,New Mexico,126509
1821,San Miguel County,New Mexico,27914
1822,Santa Fe County,New Mexico,151815
1823,Sierra County,New Mexico,11097
1824,Socorro County,New Mexico,16931
1825,Taos County,New Mexico,33220
1826,Torrance County,New Mexico,15774
1827,Union County,New Mexico,4166
1828,Valencia County,New Mexico,77352
1829,Albany County,New York,310717
1830,Allegany County,New York,46974
1831,Bronx County,New York,1448920
1832,Broome County,New York,193906
1833,Cattaraugus County,New York,77741
1834,Cayuga County,New York,78049
1835,Chautauqua County,New York,129439
1836,Chemung County,New York,85242
1837,Chenango County,New York,48093
1838,Clinton County,New York,81641
1839,Columbia County,New York,60618
1840,Cortland County,New York,48384
1841,Delaware County,New York,45049
1842,Dutchess County,New York,297161
1843,Erie County,New York,930500
1844,Essex County,New York,37737
1845,Franklin County,New York,50883
1846,Fulton County,New York,54219
1847,Genesee County,New York,58185
1848,Greene County,New York,48048
1849,Hamilton County,New York,4486
1850,Herkimer County,New York,62558
1851,Jefferson County,New York,113065
1852,Kings County,New York,2613107
1853,Lewis County,New York,26757
1854,Livingston County,New York,63968
1855,Madison County,New York,71625
1856,Monroe County,New York,751178
1857,Montgomery County,New York,50035
1858,Nassau County,New York,1374266
1859,New York County,New York,1647794
1860,Niagara County,New York,212900
1861,Oneida County,New York,232268
1862,Onondaga County,New York,467223
1863,Ontario County,New York,111152
1864,Orange County,New York,386428
1865,Orleans County,New York,41088
1866,Oswego County,New York,119280
1867,Otsego County,New York,60449
1868,Putnam County,New York,100051
1869,Queens County,New York,2305621
1870,Rensselaer County,New York,161311
1871,Richmond County,New York,481761
1872,Rockland County,New York,329513
1873,St. Lawrence County,New York,109314
1874,Saratoga County,New York,232861
1875,Schenectady County,New York,157171
1876,Schoharie County,New York,31462
1877,Schuyler County,New York,18122
1878,Seneca County,New York,34702
1879,Steuben County,New York,96919
1880,Suffolk County,New York,1498455
1881,Sullivan County,New York,76383
1882,Tioga County,New York,49129
1883,Tompkins County,New York,103998
1884,Ulster County,New York,180693
1885,Warren County,New York,65018
1886,Washington County,New York,61914
1887,Wayne County,New York,91120
1888,Westchester County,New York,978955
1889,Wyoming County,New York,40555
1890,Yates County,New York,25132
1891,Alamance County,North Carolina,168387
1892,Alexander County,North Carolina,37791
1893,Alleghany County,North Carolina,11292
1894,Anson County,North Carolina,25169
1895,Ashe County,North Carolina,27427
1896,Avery County,North Carolina,17710
1897,Beaufort County,North Carolina,47631
1898,Bertie County,North Carolina,19249
1899,Bladen County,North Carolina,33579
1900,Brunswick County,North Carolina,138347
1901,Buncombe County,North Carolina,262140
1902,Burke County,North Carolina,91442
1903,Cabarrus County,North Carolina,213819
